question,answer,crop,state,district,category
asking about the top dressing,explain in details,,,,
asking about application of nutrient.,spray mahaphal or crop booster @2gm/l water. spray at 7 days interval.,,,,
asking about the control measure against rhizome rot disease in ginger.,advised him to spray indofil m-45 @ 2 gm./litre of water.,,,,
asking about the medicine for poultry,"advice-lixen powder-3gm/lit, of water daily x5 days. ostovet-5ml/lit. of water daily x15 days.",,,,
query regarding leaf curling in tomato,advice him to spray rogor 35 ec @ 2ml/litres of water,,,,
application of  foliar fertillizer during rain,recommended to apply stanowet 1 ml per litre water along with chemical spray,,,,
query related to disease of pea,transfered to expert,,,,
asking about the cultivation practices of jatropha,given in details,,,,
asking for fert application in arecanut,explain in details the dose and method of application,,,,
paddy seedling under water for 4 days,suggested to drain out exess water . wait for two days for recovery and spray bavistin @ 1gm / lit water,,,,
asking about control measure of white fly in chilli,adviced to apply malathion 50 ec @ 2 ml per liter of water along with 10 gm juggery,,,,
asking about micronutrient requirement for bottle gourd,spray 'tracel'-2 @ 2 gm per litra of water,,,,
asking about the control measure to control root rot disease in cucumber.,suggested to apply captan@2gram/litre of water near the root portion.,,,,
asking about powdery mildew problem in cucumber,suggested to spray sulfex gold @ 2gm per litre of water,,,,
asking for the manures and fertilizers dosages in terms of per bigha of land to cultivate brinjal crop.,"14, 41, 11 and 200 kilop grams of urea, single super phosphate, muriate of potash and farm yard manures respectively has been replied and suggested as the manures and fertilizers dosages in terms of per bigha of land to cultivate brinjal crop.",,,,
query regarding  suspected  dermatitis of a1 month old calf showing the signs of exfoliation of skin,"told him to collect 5-8 ml of blood from jugular vain & inject immediately  i/ m ly / inject anistamin 10 ml & fortious 30 ml as directed for 4-5 days / apply topicure on the whole body coat to resist the air born infection & fly, lice repellent / jinger juice 20-25 ml orally daily for 7-10 days to boost the immune systen .since it is 1 month old",,,,
asking about nutrient application,recommended to spray mahaphal @ 2ml/l water in 15 days interval,,,,
asking about the fertilizer dose of cucumber.,"advised him to apply 5 kg urea,13 kg dap & 18 kg mop at the time of land preparation.",,,,
asking about the reommended fertilizer dose for potato under irrigated condition,"suggested that the recommended dose is like-urea @ 19 kilogram,ssp @ 90 kilogram,mop @ 24 kilogram ,compost @ 2-3 quintle / bigha",,,,
agri query,transfeed to agri expert,,,,
query regarding pest control in bitter gourd,suggested chloropyriphos @ 2ml per litr of water,,,,
asking about weedicides for fallen land to be cultivated rice,suggested to apply glycel @ 2ml/litre of water,,,,
control measure of fruit borer in bitter gourd,spray 'malathion 50 ec' @ 2 ml per litre of water,,,,
asking about training for vermicompost production,"recomended to visit kvk, napam or bn college of agriculture",,,,
asking about mushroom seed availability,--contact dr debashis borah (9435348832) of kvk udalguri,,,,
asking about deworming of piglet,"advised him to give panacur 1 gm bolus @ 1/3 rd of the bolus morning in the empty stomach repeat the same dose after 20 days, livozyme fe @ 2 ml orally twice daily before feed",,,,
pest problem in chilli,adviced to apply malathion 50 ec @ 2 ml pre liter of water,,,,
asking about pradhan mantri fasal bima yojana,"told him that 2 % premium for kharif crop, 1.5 % for rabi crop and 5 % for horticultural crops is to be paid by farmer to insure the crop",,,,
asking about fertilizer dose in ranjit variety,"suggested to apply urea 18 kg,ssp 17 kg and mop 9 kg per bigha. urea is to be applied in split dose-9 kg during final land preparation,4.5 kg after 1 month and 4.5 kg before panicle initiation",,,,
asking about pm kisan samman nidhi yojona.,contact with your district agriculture  office  for correction purpose.,,,,
asking about the disdorder in arecanut,"advised him to contact kvk, nagaon",,,,
asking about the nutrient management,apply tracel-2 @ gram/litres of water /plant,,,,
asking about seed treatment of chilli,told him captaf 2g/kg of seed,,,,
application of urea and ssp in fish pond,adviced to apply urea and ssp @ 2kg and 1.5kg/ bigha respectively,,,,
asking about the cultivation practics of tomato,explain in details,,,,
control of stem rot in betel vine,spray bordeaux mixture six times in a year at two months interval,,,,
query regarding rhizome rot in brinjal,radomil 2 gm/ lits of water,,,,
potato cultivation,forwarded to the expert,,,,
control measures of rice hispa,advice to spray chlorpyriphos 20 ec@ 2 ml/l water,,,,
query regarding management of nutrient.,advise to apply urea:ssp:mop @ 10:15:15 kg/bigha.,,,,
control of eus,adviced to apply lime and turmeric mixure,,,,
asking about the micro nutrient use in bottle gourd,suggeted him to spray multiplex mahaphal 2 2ml/liter of water,,,,
asking about the the nutrient management of mustard,"suggest him to apply 12kg urea,30 kg ssp and 3 kg mop/bigha.",,,,
asking about micronutrient rewuirement in bitter gourd,adviced to spray tracel @ 2 gm per litre of water,,,,
asking about the nutrition of rice field,recommended to sprsy paddy special @ 2 ml/lit of water,,,,
asking about variety of mustard,"recommended variety are ts36, ts 38 and m27",,,,
asking about the control of weeds after planting,told him to mannual working,,,,
problem of ridge gourd become sour,adviced to apply succinic acid @ 1 gm per 10 lit of water,,,,
asking about varity,"advice to cultivate monsoon monark,long green monsoon",,,,
asking about use of bio-activator in brinjal,apply mahaphal @ 2 ml per litre of water,,,,
"asking about application of water soluble fertilizers  and boron in tea
foliar spraying of npk 19:19:19 @ 10g/lit of water followed or applied along with folibor ( boron 20%) @ 1g/1l .also soil application of sulphamax  (sulphur) granules  @ 2.5-3 kg /bigha at feb-march",foliar spraying of npk 19:19:19 @ 10g/lit of water followed or applied along with folibor ( boron 20%) @ 1g/lit .also soil application of sulphamax  (sulphur) granules  @ 2.5-3 kg /bigha at feb-march,,,,
asking about pm kisan maan dhan yojana.,"told him it is a central govt. scheme. age limit of the applicant is 18-40 years. landholding should be less than 15 bighas. applicants have to give premium and after attaining 60 years, they will get rs 3000 per month. 
contact- block office to enuire about common service centre",,,,
asking about dose of saaf in chilli,told him  spray 2g/lit of water,,,,
asking about vety. problems,transfer to vety. expert,,,,
asking about the seed rate for mustard,recooemnded seed rate for mustard 1.4 kg/bigha,,,,
asking about use of vermicompost in rice,explained properly,,,,
asking about the brinjal fruit fruit and shoot borer,"suggested to apply emmamectin  benzoate @ 1.5ml/l of water, 2 spray at 5 days interval",,,,
query regarding fertilizer dose of coconut,advised to apply urea:ssp:mop @ 1.5-2.5-1.75 kg/plant for five years or more plants with 50gm of borax,,,,
asking about the control measure of fruit and shoot borer of brinjal,advised to apply deltamathrin (decis 2.8 ec)@ 1ml /liter of water.,,,,
asking for the control of blight in marigold,suggested to spray ridomil gold @ 2 gm per liter of water,,,,
asking about control measure of late blight in potato.,suggested to spray indofil m-45 @ 2.5gm/lit water at 7 days interval when attacked.,,,,
query regarding control measures of fungal diseases in tea,suggested blitox @ 2 gm per 5 litrs of water,,,,
asking about ai of doe,"recommended to spray npk 19 all@ 5gm/l water at 10 days interval
also continue spraying multiplex mahaphal @2ml/l water at 10 days interval( for 20l capacity ,40ml mahaphal is required)",,,,
asking about government scheme on seed distribution.,advised  him to visit district agriculture office.,,,,
asking about scheme of veterinary,told him contact to veterinary office or kvk,,,,
control measure of leaf eating caterpiller of cauliflower,spray 'malathion 50 ec' @ 2 ml per litre of water,,,,
query regarding  infection in ear,norflox e/e drop bid in affected ear,,,,
asking about the sowing time of bottlegourd,suggest him to sow in the month of june-july,,,,
asking about the control of flower drop in arecanut.,"apply 200 g urea, 250 g ssp , 220 g mop and 25 g borax per plant per year in two split doses in ring method.",,,,
asking about nutrient managment in bitter gourd,told him spray tracel 2 @ 5g/lit of water in a week,,,,
asking about the age of castration period of a dog.,suggested to  the age of castration period of a dog is 2-3 month og age.,,,,
asking about the treatment of skin infection.,"suggested to inj intacef 1gm i/mly, avil vet 3ml i/mly and apply himax oint. on the affected area.",,,,
asking about the control measure against fungal wilting in potato.,suggested to spray captan @3gram/lit of water in potato,,,,
asking about control measure of stem borer.,advice to spray chlorpyriphos 2ml per litre of water.,,,,
asked about kcc loan,given him in details,,,,
asking about control measure of scab/verucosis,suggested to spray saaf @ 2 g per lit of water twice after 3 days interval,,,,
asking about fertilizer dose for bhindi,"adviced to apply urea 14 kg, ssp 41, mop 11 kg per bigha",,,,
asking about insurance available for mustard cultivation,suggested him to meet local agri officers for better consultation.,,,,
asking about atma project,explain details,,,,
asking about fertilizer dose i ber,told him to spray npk 10g/lit of water,,,,
asking about the blight disease,application of ridomill m z 72 @ 2 gram per litre of water,,,,
asking about the vetenery,vetenery talked,,,,
asking about fruit fly in bottle gourd,advice him to spray malathion 50 ec @ 2ml per litres of waters,,,,
query regarding some  maize plant infested with green colour worm ( suspected to be insect borer ),--,,,,
asking about the cultural practices mustard,advice him to spray malathion 50 ec @ 2ml/1litres of water,,,,
